Resort;Country;Latitude;Longitude
Nordpark Seegrube;Austria;47.301492;11.383815
Obergurgl-Hochgurgl;Austria;46.870588;11.027368
Obertauern;Austria;47.247119;13.561995
Oetz;Austria;47.201755;10.892453
Oswaldbauer;Austria;47.573856;15.532648
Patscherkofel;Austria;47.209049;11.458778
Pettneu;Austria;47.147486;10.340582
Pettneu;Austria;47.147486;10.340582
Petzen;Austria;46.516048;14.773010
Pf?nder;Austria;47.506516;9.782229
Piesendorf;Austria;47.291707;12.716946
Pillersee Buchensteinwand;Austria;47.499155;12.566391
Pitztaler Gletscher - Rifflsee;Austria;46.958350;10.871429
Planai;Austria;47.374333;13.721732
Planneralm;Austria;47.404728;14.199997
Pruggern;Austria;47.423192;13.875553
Pr?bichl;Austria;47.517141;14.963189
Pungrat;Austria;46.481993;14.300195
Radstadt;Austria;47.367549;13.451750
Raggal;Austria;47.210714;9.837580
Ramsau am Dachstein;Austria;47.417017;13.675167
Rangger K?pfl;Austria;47.163748;11.223643
Raurisertal;Austria;47.228585;12.982664
Rax;Austria;47.674418;15.765123
Reiteralm;Austria;47.370502;13.596849
Reuttener Bergbahn;Austria;47.479524;10.664809
Riesneralm;Austria;47.369116;14.101031
Rosenegger Abschlepper;Austria;47.488383;12.526302
Salzstiegl;Austria;47.057491;14.866141
Schattwald;Austria;47.512605;10.461224
Scheffau;Austria;47.528550;12.250130
Schetteregg;Austria;47.418147;9.982015
Schilift Glasenberg;Austria;47.945060;14.574021
Schilift-sandl;Austria;48.560676;14.628503
Schilifte Feistritzsattel;Austria;47.576336;15.850841
Schladming;Austria;47.396805;13.684284
Schmittenh?he - Zell am See;Austria;47.323673;12.787215
Schneeberg am Puchberg;Austria;47.785016;15.901039
Schr?cken;Austria;47.258212;10.097335
See;Austria;47.084046;10.469867
Seefeld;Austria;47.330808;11.199655
Semmering-Hirschenkogel;Austria;47.630946;15.830223
Serfaus - Fiss - Ladis;Austria;47.038414;10.607735
Sillian;Austria;46.747600;12.417623
Silvretta Nova;Austria;47.008580;9.899546
Simonhohe;Austria;46.775884;14.167328
Sirnitz- Albeck - Hochrindl;Austria;46.861904;13.991437
Ski Amade;Austria;47.263076;13.289891
Ski Zillertal 3000;Austria;47.116667;11.683333
Skicircus Saalbach;Austria;47.378594;12.595856
Skigebiet falkert;Austria;46.866455;13.826094
Soelden;Austria;46.966718;11.007376
Soellereck;Austria;47.369112;10.224774
Sommeralm - Holzmeisterlift;Austria;47.354891;15.516452
Sonnberglifte - Wald am Schoberpass;Austria;47.459234;14.671602
Sonntag;Austria;47.237549;9.897746
Sonnwendstein/Maria Schutz;Austria;47.641791;15.866077
St Jakob im walde;Austria;47.460141;15.797776
St. Anton am Arlberg;Austria;47.127400;10.263700
St. Corona;Austria;47.585568;16.010060
St. Jakob im Defereggental;Austria;47.147100;10.342200
St. Johann;Austria;47.348399;13.202388
St. Johann in Tirol;Austria;47.522614;12.425729
Steinach Bergeralm;Austria;47.078835;11.464750
Steinplatte;Austria;47.610086;12.555783
Sternstein;Austria;48.557114;14.277452
Stoderzinken;Austria;47.461787;13.823444
Strallegg;Austria;47.435120;15.703291
Stubaier Gletscher;Austria;47.010868;11.154866
Stuben;Austria;47.139407;10.158863
Stuhleck - Semmering;Austria;47.592646;15.766564
Sulzberg;Austria;47.529605;9.905956
S?ll;Austria;47.503611;12.191686
Tannheim;Austria;47.496923;10.516355
Teichalmlifte;Austria;47.346430;15.458574
Thiersee Hagerhof;Austria;47.588846;12.096655
Tonnerh?tte;Austria;47.053372;14.536501
Tulfes/Rinn - Glungezer;Austria;47.218540;11.532545
Turnau - Schwabenbergarena;Austria;47.552316;15.350388
Turracher H?he - K?rnten;Austria;46.921134;13.868315
T?rnitz Eibl;Austria;47.925889;15.473393
Unken-Heutal;Austria;47.639074;12.714439
Unterberg;Austria;47.935919;15.824673
Venet;Austria;47.138498;10.566523
Vent - Stablein;Austria;46.862382;10.912185
Viehberg Sandl;Austria;48.561960;14.636054
Vorderstoder;Austria;47.712475;14.224728
Wachtberglifte;Austria;47.887651;13.579416
Wagrain;Austria;47.333365;13.296547
Walchsee Zahmer Kaiser;Austria;47.645093;12.302569
Warth;Austria;47.259806;10.177127
Weinebene;Austria;46.840051;15.016355
Weissbriach Gitschtal;Austria;46.681190;13.243364
Wei?ensee;Austria;46.702889;13.302771
Wei?see;Austria;47.132724;12.620691
Wenigzell;Austria;47.425765;15.757374
Werfenweng;Austria;47.465448;13.291108
Westendorf;Austria;47.431940;12.214451
Wilder Kaiser - Brixental;Austria;47.483350;12.308300
Wildkogel;Austria;47.285617;12.296778
Winklmoosalm;Austria;47.637642;12.560206
Wurzeralm Frauenkar;Austria;47.646509;14.278831
Zauchensee;Austria;47.292325;13.454347
Zell im Zillertal;Austria;47.244978;11.936990
Zillertal;Austria;47.387900;11.843987
Zillertalarena;Austria;47.257506;12.047646
Zugspitz Arena;Austria;47.402308;10.921404
Zwoelferhorn Seilbahn;Austria;47.746725;13.351297
Z?blen;Austria;47.506711;10.476254
Z?rs;Austria;47.169300;10.163400
?tz Hoch?tz Balbach;Austria;47.208389;10.898813
?bersaxen Gr?llerkopf;Austria;47.257343;9.682490
Logoisk;Belarus;54.200000;27.800000
Silichy;Belarus;54.156667;27.839997
Baraque de Fraiture;Belgium;50.250000;5.733333
Der ferme Libert;Belgium;50.442600;6.038120
Mont des Brumes;Belgium;50.433514;5.911994
Nidrum Zosterbach;Belgium;50.457552;6.195600
S.N.C. Ski Neige Conception;Belgium;50.460679;5.971900
SPA Piste de Ski;Belgium;50.459645;5.882530
Simon Heinzius Ski Piste;Belgium;50.462804;6.212211
Thier des Rexhons;Belgium;50.458191;5.867719
Val de Wanne;Belgium;50.359640;5.909784
Chacaltaya;Bolivia;-16.500000;-68.150001
Balkana;Bosnia i Herzegovina;44.416255;17.046276
Bjelasnica;Bosnia i Herzegovina;43.714604;18.283653
Igrista;Bosnia i Herzegovina;44.154973;18.928216
Jahorina;Bosnia i Herzegovina;43.731233;18.574319
Kupres- Stozer;Bosnia i Herzegovina;43.994956;17.294616
Ostrelj;Bosnia i Herzegovina;44.481739;16.411084
Vla?i?;Bosnia i Herzegovina;44.312991;17.571767
Bansko;Bulgaria;41.785969;23.438988
